task,embedding,kernel,R,R2,kendalltau,log_loss,SE
only_cut_secreted,X_sp_secretion_data_1_7.pkl,Matern5/2,-0.16882679936430395,-0.04356901938008395,-0.0591627946640332,180.6526624883115,1.262756859217799
only_cut_secreted,X_only_sp_secretion_data_4_3.pkl,Matern5/2,-0.3767239657549223,-0.01499473833417131,-0.23238169862883143,179.16772107190496,1.2281809291950991
only_cut_secreted,X_only_sp_secretion_data_2_7.pkl,Matern5/2,0.3047787256781465,0.08836668155630445,0.24549510156982848,174.13724280317734,1.1031098131296537
only_cut_secreted,X_sp_secretion_data_3_4.pkl,Matern5/2,-0.225844667474864,-0.07239895638104699,-0.12517319225525242,182.94931070012265,1.2976421423401447
only_cut_secreted,X_small_2_1.pkl,Matern5/2,-0.40092404638581064,-0.038112212923706146,-0.24458021299254962,180.61109507843028,1.2561539228961474
only_cut_secreted,X_sp_secretion_data_3_5.pkl,Matern5/2,-0.05814966155256369,-0.04975330672888156,0.008853713598542244,182.01728093548192,1.2702400741504412
only_cut_secreted,X_original_4_5.pkl,Matern5/2,-0.4323794889804775,-0.023714437628003626,-0.31289189342937146,179.65876502179182,1.2387320857445185
only_cut_secreted,X_small_3_5.pkl,Matern5/2,-0.41608423940989503,-0.01932501764026262,-0.2583035416517326,179.41593429418631,1.2334207262708534
only_cut_secreted,X_only_sp_secretion_data_4_1.pkl,Matern5/2,-0.37714860759492874,-0.015014737235134357,-0.23756606723341167,179.16666253890568,1.2282051286001205
only_cut_secreted,X_only_sp_secretion_data_1_4.pkl,Matern5/2,0.014014975696115924,-0.03538212074842417,0.07105634616865844,180.32312551533036,1.252850411047279
only_cut_secreted,X_only_sp_secretion_data_1_6.pkl,Matern5/2,0.11410222555407361,0.006588628551339459,0.09291431755422719,177.92081153980894,1.2020642621864492
only_cut_secreted,X_small_3_7.pkl,Matern5/2,-0.3764748935070889,-0.014986346910556447,-0.22902710717880895,179.17320140169704,1.2281707752641835
only_cut_secreted,X_only_sp_secretion_data_5_7.pkl,Matern5/2,-0.37622293682491864,-0.014979927979359653,-0.228417181460623,179.1679987357134,1.228163008121573
only_cut_secreted,X_sp_secretion_data_3_7.pkl,Matern5/2,-0.0025949171848884977,-0.028559078129729576,0.031633657456784585,179.95990930819903,1.2445942787671063
only_cut_secreted,X_only_sp_secretion_data_5_6.pkl,Matern5/2,-0.37627646394471526,-0.014984756324246451,-0.23024695861518074,179.1664252336777,1.2281688505963027
only_cut_secreted,X_sp_secretion_data_1_4.pkl,Matern5/2,-0.3322669079236012,-0.022432792114916333,-0.21469385280144007,179.58146549316132,1.2371812475798343
only_cut_secreted,X_original_2_4.pkl,Matern5/2,0.0924862423189275,0.003277796263329358,0.05855286894584729,178.2338696186272,1.2060704909109161
only_cut_secreted,X_sp_secretion_data_1_6.pkl,Matern5/2,-0.18806026595720218,-0.03422265420594228,-0.07990026908235412,180.28069937548622,1.2514474139264729
only_cut_secreted,X_only_sp_secretion_data_1_2.pkl,Matern5/2,0.03540908669387407,-0.025886505285345862,0.09342194348806644,180.43119172302787,1.2413603674221627
only_cut_secreted,X_only_sp_secretion_data_2_4.pkl,Matern5/2,0.19792750771631965,0.023796378026314735,0.16102038960108003,179.18646259715186,1.1812422530258722
only_cut_secreted,X_original_4_1.pkl,Matern5/2,-0.4106947472898987,-0.0405880780901664,-0.30130330478383915,180.60778218746927,1.259149810722813
only_cut_secreted,X_sp_secretion_data_1_1.pkl,Matern5/2,-0.15998114632014854,-0.035188170364841787,-0.056723091791289565,180.3282045312822,1.25261572395647
only_cut_secreted,X_sp_secretion_data_3_3.pkl,Matern5/2,-0.2037569935442003,-0.09750464746664189,-0.1489866288306419,184.6921269427535,1.3280209510581062
only_cut_secreted,X_small_5_1.pkl,Matern5/2,-0.3763837746159286,-0.014992678901689649,-0.23146681005155256,179.16530812477467,1.2281784372061229
only_cut_secreted,X_original_5_3.pkl,Matern5/2,-0.37626898025722494,-0.014983452418210863,-0.22933207003790188,179.16420872841474,1.2281672728220878
only_cut_secreted,X_original_5_1.pkl,Matern5/2,-0.3763550683439181,-0.014991391059266279,-0.23024695861518074,179.16477276450019,1.228176878869469
only_cut_secreted,X_only_sp_secretion_data_4_5.pkl,Matern5/2,-0.3777566694118816,-0.015033778460874725,-0.23756606723341167,179.16811797385165,1.228228169182933
only_cut_secreted,X_small_2_7.pkl,Matern5/2,-0.37648187636995195,-0.014988807290255313,-0.22719733002425122,179.1664556662892,1.2281737524140255
only_cut_secreted,X_sp_secretion_data_3_2.pkl,Matern5/2,-0.23309085619575984,-0.07513197589362153,-0.16559483248747436,183.29887289205823,1.3009491963747017
only_cut_secreted,X_original_3_2.pkl,Matern5/2,-0.3761338572081507,-0.014978185318319959,-0.22628244144697235,179.16441161261957,1.2281608994376814
only_cut_secreted,X_original_4_3.pkl,Matern5/2,-0.41056042965833867,-0.03397496122517962,-0.322650704920346,180.25274860664067,1.2511476963183132
only_cut_secreted,X_small_1_4.pkl,Matern5/2,-0.36516597686117314,-0.03645957728911897,-0.2186583699696485,180.60196359059725,1.2541541730524788
only_cut_secreted,X_only_sp_secretion_data_4_7.pkl,Matern5/2,-0.376875419153271,-0.014999501906544088,-0.23604125293794687,179.1645950576,1.2281866932927068
only_cut_secreted,X_small_4_4.pkl,Matern5/2,-0.37631669298910914,-0.014985003335830971,-0.23085688433336668,179.1656355448617,1.2281691494893965
only_cut_secreted,X_only_sp_secretion_data_3_5.pkl,Matern5/2,-0.05092287333219375,-0.03098202855024912,-0.006404220040952048,180.36844257914626,1.2475261378068403
only_cut_secreted,X_small_3_3.pkl,Matern5/2,-0.4384071427412127,-0.027090659997436317,-0.29079869664177543,179.94065785780666,1.2428174388702544
only_cut_secreted,X_only_sp_secretion_data_2_6.pkl,Matern5/2,0.2909072744610753,0.07736064322468061,0.24092065868343415,175.8738154560188,1.116427523925944
only_cut_secreted,X_only_sp_secretion_data_3_6.pkl,Matern5/2,-0.03264683602098576,-0.02829213843886058,0.0009148885772788639,180.25210315655312,1.2442712719325009
only_cut_secreted,X_sp_secretion_data_1_5.pkl,Matern5/2,-0.17176433553648873,-0.0361173277560205,-0.08233997195509775,180.46445653438198,1.2537400385415283
only_cut_secreted,X_small_2_4.pkl,Matern5/2,-0.3764468487143705,-0.014988979987489826,-0.23238169862883143,179.16517117475007,1.2281739613840248
only_cut_secreted,X_only_sp_secretion_data_1_5.pkl,Matern5/2,0.021522942243833387,-0.03289816112201205,0.06343227469133456,180.0906481926139,1.2498447286266419
only_cut_secreted,X_sp_secretion_data_4_3.pkl,Matern5/2,-0.3759011728052782,-0.01496715835569784,-0.2332965872061103,179.164299508002,1.2281475564077244
