task,embedding,kernel,R,R2,kendalltau,log_loss,SE
cut_secreted,X_sp_secretion_data_1_7.pkl,Matern5/2,-0.42740476444559344,-0.018848061289721052,-0.2796509417882394,179.39114318863383,1.2328435915610172
cut_secreted,X_only_sp_secretion_data_4_3.pkl,Matern5/2,-0.3686261473342271,-0.028368727294596052,-0.22292784999694984,179.93293901408674,1.2443639472621855
cut_secreted,X_only_sp_secretion_data_2_7.pkl,Matern5/2,-0.38034480520075853,-0.015140319995608165,-0.22719733002425122,179.17528451194406,1.2283570883548114
cut_secreted,X_sp_secretion_data_3_4.pkl,Matern5/2,-0.37591746585757374,-0.014972081397921944,-0.22811221860153008,179.1636926655521,1.2281535134697121
cut_secreted,X_small_2_1.pkl,Matern5/2,-0.4020769165653543,-0.0162062536328067,-0.2305519214742737,179.24516295996577,1.2296469072233736
cut_secreted,X_sp_secretion_data_3_5.pkl,Matern5/2,-0.2219003910608013,-0.030282416539653134,-0.15705587243287164,180.04802224982444,1.2466795815668936
cut_secreted,X_original_4_5.pkl,Matern5/2,-0.31357896011453806,-0.03353217971582523,-0.188162084060353,180.27895374493602,1.2506119144220624
cut_secreted,X_small_3_5.pkl,Matern5/2,-0.4230347872312363,-0.018814718664742935,-0.2680623531427071,179.3873436488689,1.2328032457596247
cut_secreted,X_only_sp_secretion_data_4_1.pkl,Matern5/2,-0.3708790106747757,-0.028085052465873783,-0.22170799856057805,179.91856289051654,1.2440206902958475
cut_secreted,X_only_sp_secretion_data_1_4.pkl,Matern5/2,-0.42512807850120693,-0.018004725722342796,-0.2680623531427071,179.33530817437855,1.2318231245362663
cut_secreted,X_only_sp_secretion_data_1_6.pkl,Matern5/2,-0.43676662147933293,-0.022070745809232628,-0.2808707932246112,179.58807139888182,1.2367431582466264
cut_secreted,X_small_3_7.pkl,Matern5/2,-0.40315341652817743,-0.018038271546733986,-0.25250924732896646,179.33390525345953,1.2318637162164154
cut_secreted,X_only_sp_secretion_data_5_7.pkl,Matern5/2,0.03756558507245234,-0.014412844819847725,0.034218930597304874,179.11452211495566,1.2274768166611882
cut_secreted,X_sp_secretion_data_3_7.pkl,Matern5/2,-0.37586977415675027,-0.014966471384618263,-0.23207673576973845,179.164716696385,1.2281467251474756
cut_secreted,X_only_sp_secretion_data_5_6.pkl,Matern5/2,0.028626242863422344,-0.017997412689162884,0.02625584032671148,179.44940242470147,1.2318142754974024
cut_secreted,X_sp_secretion_data_1_4.pkl,Matern5/2,-0.14579056039760757,-0.026569215358376086,-0.0927087091642582,179.91141570078366,1.2421864716965962
cut_secreted,X_original_2_4.pkl,Matern5/2,-0.26888868907759567,-0.03707596534725055,-0.15888564958742937,180.55497505997673,1.2549000252518934
cut_secreted,X_sp_secretion_data_1_6.pkl,Matern5/2,-0.3758914170321143,-0.01496614754847747,-0.23268666148792438,179.1642544853778,1.2281463332938458
cut_secreted,X_only_sp_secretion_data_1_2.pkl,Matern5/2,-0.4308599775461784,-0.027412476229588867,-0.2805658303655183,179.8728126828733,1.2432068483362422
cut_secreted,X_only_sp_secretion_data_2_4.pkl,Matern5/2,-0.3791539352163001,-0.015092111251277407,-0.2278072557424371,179.17283111099653,1.228298754002749
cut_secreted,X_original_4_1.pkl,Matern5/2,-0.432565540310786,-0.021720878819371015,-0.262268058819941,179.58008339928088,1.2363198063330902
cut_secreted,X_sp_secretion_data_1_1.pkl,Matern5/2,-0.38327778416061203,-0.01541442414409211,-0.22719733002425122,179.19154181361196,1.2286887644463877
cut_secreted,X_sp_secretion_data_3_3.pkl,Matern5/2,-0.3875128301369376,-0.0156218298044275,-0.23268666148792438,179.20537850277648,1.2289397329164795
cut_secreted,X_small_5_1.pkl,Matern5/2,0.06274951043228572,-0.005015348659706875,0.045251349941389685,178.52697394163383,1.2161055009980037
cut_secreted,X_original_5_3.pkl,Matern5/2,0.06473728998665744,-0.005014742635514269,0.04678011176373393,178.52685025826523,1.2161047676864625
cut_secreted,X_original_5_1.pkl,Matern5/2,0.05347876348256862,-0.008562713388428733,0.04552339874105738,178.75641860482972,1.2203979426670768
cut_secreted,X_only_sp_secretion_data_4_5.pkl,Matern5/2,-0.3710713779444721,-0.028158140966213496,-0.22231792427876393,179.9223251002286,1.2441091300668832
cut_secreted,X_small_2_7.pkl,Matern5/2,-0.3759682456861844,-0.014970359745844819,-0.22689236716515826,179.16464097273524,1.2281514302074368
cut_secreted,X_sp_secretion_data_3_2.pkl,Matern5/2,-0.37593473488931123,-0.01496978254421566,-0.22719733002425122,179.16431050985008,1.2281507317722564
cut_secreted,X_original_3_2.pkl,Matern5/2,-0.3760369508988558,-0.0149713926413928,-0.2305519214742737,179.16435323271833,1.2281526800490035
cut_secreted,X_original_4_3.pkl,Matern5/2,-0.40401716100130886,-0.03038287623464453,-0.26257302167903396,180.08905825579248,1.2468011414892075
cut_secreted,X_small_1_4.pkl,Matern5/2,-0.4172714345868025,-0.03195537730859033,-0.275686424620031,180.26491343846502,1.2487039255699692
cut_secreted,X_only_sp_secretion_data_4_7.pkl,Matern5/2,-0.37085260323988917,-0.028218627958937814,-0.2226228871378569,179.92528710538284,1.244182321550664
cut_secreted,X_small_4_4.pkl,Matern5/2,-0.399342955016853,-0.01634101567151003,-0.24427525013345663,179.24187520584883,1.229809974242013
cut_secreted,X_only_sp_secretion_data_3_5.pkl,Matern5/2,-0.3762034757738159,-0.014978250291920014,-0.22811221860153008,179.16511529784495,1.2281609780581246
cut_secreted,X_small_3_3.pkl,Matern5/2,-0.37593485400796073,-0.014968942445333644,-0.23085688433336668,179.16441985756518,1.2281497152217398
